Blender 4.5.2 LTS (hash ab25eae04993 built 2025-08-20 02:20:52)
Read blend: "C:\Users\SM - Dan\Documents\GitHub\slingmods-three-wheel-tour-rebuild\assets\blender\harbor\harbor.blend"
Fra:1 Mem:259.48M (Peak 259.54M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_post_30_-3.5
Fra:1 Mem:259.50M (Peak 259.54M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_30_0.65
Fra:1 Mem:259.49M (Peak 259.54M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_coping_31
Fra:1 Mem:259.49M (Peak 259.54M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_post_31_-3.5
Fra:1 Mem:259.49M (Peak 259.54M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_post_31_3.5
Fra:1 Mem:259.50M (Peak 259.54M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_31_0.65
Fra:1 Mem:259.50M (Peak 259.54M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_31_1.12
Fra:1 Mem:259.51M (Peak 259.54M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_coping_32
Fra:1 Mem:259.51M (Peak 259.54M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_post_32_-3.5
Fra:1 Mem:259.51M (Peak 259.54M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_post_32_3.5
Fra:1 Mem:259.52M (Peak 259.54M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Quay_rail_32_0.65
Fra:1 Mem:259.52M (Peak 259.54M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Dock_plank_module_0_0
Fra:1 Mem:259.52M (Peak 259.54M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Dock_pile_0_0_1
Fra:1 Mem:259.53M (Peak 259.54M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Dock_pile_0_1_-1
Fra:1 Mem:259.53M (Peak 259.54M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Dock_pile_0_1_1
Fra:1 Mem:259.54M (Peak 259.54M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Dock_pile_0_2_1
Fra:1 Mem:259.54M (Peak 259.54M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Dock_plank_module_0_3
Fra:1 Mem:259.55M (Peak 259.55M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Dock_pile_0_3_1
Fra:1 Mem:259.55M (Peak 259.55M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Dock_plank_module_0_4
Fra:1 Mem:259.55M (Peak 259.55M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Dock_pile_0_4_-1
Fra:1 Mem:259.55M (Peak 259.55M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Dock_pile_0_4_1
Fra:1 Mem:259.55M (Peak 259.55M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Dock_plank_module_0_5
Fra:1 Mem:259.56M (Peak 259.56M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Dock_pile_0_5_-1
Fra:1 Mem:259.56M (Peak 259.56M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Dock_plank_module_0_6
Fra:1 Mem:259.56M (Peak 259.56M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Dock_pile_0_6_-1
Fra:1 Mem:259.57M (Peak 259.57M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Dock_pile_0_6_1
