Blender 4.5.2 LTS (hash ab25eae04993 built 2025-08-20 02:20:52)
Read blend: "C:\Users\SM - Dan\Documents\GitHub\slingmods-three-wheel-tour-rebuild\assets\blender\vehicles\slingshot-p01.blend"
Fra:1 Mem:30.27M (Peak 30.27M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | rear_rim
Fra:1 Mem:30.39M (Peak 30.39M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | rear_hub
Fra:1 Mem:30.46M (Peak 30.46M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | lights_brake_left
Fra:1 Mem:30.49M (Peak 30.49M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | rear_machined_spoke
Fra:1 Mem:30.49M (Peak 30.49M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | rear_machined_spoke.001
Fra:1 Mem:30.50M (Peak 30.50M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | rear_machined_spoke.002
Fra:1 Mem:30.51M (Peak 30.51M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | rear_machined_spoke.003
Fra:1 Mem:30.51M (Peak 30.51M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | rear_machined_spoke.004
Fra:1 Mem:30.53M (Peak 30.53M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | rear_machined_spoke.005
Fra:1 Mem:30.54M (Peak 30.54M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | exposed_chassis_rail_right
Fra:1 Mem:30.55M (Peak 30.55M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | rear_machined_spoke.007
Fra:1 Mem:30.55M (Peak 30.55M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | rear_machined_spoke.008
Fra:1 Mem:30.57M (Peak 30.57M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | rear_machined_spoke.009
Fra:1 Mem:30.57M (Peak 30.57M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | rear_brake_disc
Fra:1 Mem:30.57M (Peak 30.57M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | rear_machined_spoke.010
Fra:1 Mem:30.58M (Peak 30.58M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | rear_machined_spoke.011
Fra:1 Mem:30.61M (Peak 30.61M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | rear_machined_spoke.012
Fra:1 Mem:30.63M (Peak 30.63M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | rear_machined_spoke.013
Fra:1 Mem:30.63M (Peak 30.63M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | rear_machined_spoke.014
Fra:1 Mem:30.64M (Peak 30.64M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | front_spring_right
Fra:1 Mem:30.65M (Peak 30.65M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | rear_machined_spoke.016
Fra:1 Mem:30.76M (Peak 30.76M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | rear_machined_spoke.017
Fra:1 Mem:30.79M (Peak 30.79M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | rear_machined_spoke.018
Fra:1 Mem:30.82M (Peak 30.82M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | rear_machined_spoke.019
Fra:1 Mem:30.82M (Peak 30.82M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | rear_brake_disc.001
Fra:1 Mem:30.83M (Peak 30.83M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | hood_central_left
Fra:1 Mem:30.85M (Peak 30.85M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | sculpted_front_fender_left
Fra:1 Mem:30.86M (Peak 30.86M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | nose_cheek_left
Fra:1 Mem:32.88M (Peak 32.88M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | lamp_recess_left
Fra:1 Mem:32.89M (Peak 32.89M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | lower_vent_left
Fra:1 Mem:32.89M (Peak 32.89M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | lights_brake_right
Fra:1 Mem:32.90M (Peak 32.90M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | vent_vane_left.001
Fra:1 Mem:32.91M (Peak 32.91M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | vent_vane_left.002
Fra:1 Mem:32.93M (Peak 32.93M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | lights_signals_left
Fra:1 Mem:32.94M (Peak 32.94M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | sculpted_sill_left
Fra:1 Mem:32.96M (Peak 32.96M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | front_side_scoop_left
Fra:1 Mem:32.96M (Peak 32.96M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | tail_shoulder_left
Fra:1 Mem:32.97M (Peak 32.97M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | front_A_arm_left
Fra:1 Mem:33.00M (Peak 33.00M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | front_A_arm_left.001
Fra:1 Mem:32.98M (Peak 33.00M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | seat_bolster_driver
